ruti / dorfzentrum, sudl. teil	Rüti / Dorfzentrum, Südl. Teil
ruti / oberdorf	Rüti / Oberdorf
ruti / westlicher dorfteil	Rüti / Westlicher Dorfteil
ruti bei lyssach	Rüti bei Lyssach
rutihof	Rütihof
saanen	Saanen
saas-fee	Saas-Fee
saas-grund	Saas-Grund
sachseln	Sachseln
safenwil	Safenwil
saignelegier	Saignelégier
saillon	Saillon
saint saphorin	Saint Saphorin
saint-aubin-sauges	Saint-Aubin-Sauges
saint-blaise	Saint-Blaise
saint-cergue	Saint-Cergue
saint-george	Saint-George
saint-imier	Saint-Imier
saint-leonard	Saint-Léonard
saint-livres	Saint-Livres
saint-maurice	Saint-Maurice
saint-prex	Saint-Prex
sainte-croix	Sainte-Croix
sales	Sâles
salgesch	Salgesch
salmsach	Salmsach
salvan	Salvan
samedan	Samedan
samstagern	Samstagern
sankt antoni	Sankt Antoni
sankt gallen	Sankt Gallen
sankt gallenkappel	Sankt Gallenkappel
sankt margrethen	Sankt Margrethen
sankt niklaus	Sankt Niklaus
sankt peterzell	Sankt Peterzell
sankt stephan	Sankt Stephan
santa maria in calanca	Santa Maria in Calanca
sargans	Sargans
sarmenstorf	Sarmenstorf
sarnen	Sarnen
satigny	Satigny
sattel	Sattel
saubraz	Saubraz
saviese	Savièse
savigny	Savigny
savosa	Savosa
saxon	Saxon
schachen	Schachen
schaffhausen	Schaffhausen
schafisheim	Schafisheim
schanis	Schänis
scharans	Scharans
schattdorf	Schattdorf
